               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.026373,            0.027178,             0.00395,             0.80662,             0.81566,             0.76413,             0.48856,            0.036752,            0.030771,            0.011576,           0.0046045,           0.0046045,           0.0046045
                 111,            0.025349,            0.028319,           0.0033989,             0.78609,             0.81587,             0.75866,             0.49318,            0.035469,             0.03052,            0.011259,            0.004555,            0.004555,            0.004555
                 112,            0.026111,            0.028741,           0.0038608,             0.78893,             0.81587,             0.76325,             0.48834,            0.037729,            0.031043,            0.011396,           0.0045055,           0.0045055,           0.0045055
                 113,            0.028593,            0.024499,           0.0033674,             0.82347,             0.77141,              0.7667,             0.48377,            0.036077,            0.031055,            0.011036,            0.004456,            0.004456,            0.004456
                 114,            0.025806,             0.02732,           0.0042542,             0.84222,             0.74511,             0.75251,             0.48549,            0.035102,            0.031471,            0.010392,           0.0044065,           0.0044065,           0.0044065
                 115,            0.026608,              0.0291,           0.0038428,             0.85977,             0.73943,             0.76892,             0.48199,            0.035218,            0.031728,            0.010438,            0.004357,            0.004357,            0.004357
                 116,            0.025726,            0.029154,             0.00324,             0.76338,             0.82119,             0.77139,             0.48702,            0.037504,             0.03163,            0.010742,           0.0043075,           0.0043075,           0.0043075
                 117,            0.031124,             0.03136,            0.005578,             0.82547,             0.79365,             0.77464,             0.50187,            0.034505,            0.031746,            0.010352,            0.004258,            0.004258,            0.004258
                 118,            0.024591,             0.02897,           0.0047981,             0.82185,             0.77143,              0.7621,             0.49481,            0.036734,            0.032266,            0.010796,           0.0042085,           0.0042085,           0.0042085
                 119,            0.025703,            0.029876,           0.0036631,             0.82923,             0.77143,             0.76257,             0.49725,            0.035544,            0.031811,            0.010992,            0.004159,            0.004159,            0.004159
                 120,              0.0266,            0.029907,           0.0034933,             0.80443,             0.77143,             0.74949,             0.48843,            0.036928,            0.031691,            0.011424,           0.0041095,           0.0041095,           0.0041095
                 121,            0.024351,            0.027226,           0.0030037,             0.79314,             0.77139,             0.75216,             0.49607,            0.035842,            0.031438,            0.011401,             0.00406,             0.00406,             0.00406
